FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,Airline,DelayMinutes,DepartureDateTime,ArrivalDateTime
AA1234,,,,,American Airlines,15.0,2023-09-01 08:30:00,2023-09-01 10:45:00
DL5678,,,,,Delta,5.0,2023-09-01 13:15:00,2023-09-01 15:30:00
UA9101,,,,,United Airlines,25.0,2023-09-01 17:00:00,2023-09-01 19:15:00
AA1234,,,,,American Airlines,30.0,2023-09-01 08:30:00,2023-09-01 22:45:00
DL5678,,,,,Delta,25.0,2023-09-02 14:00:00,2023-09-02 16:10:00
UA9101,,,,,United Airlines,20.0,2023-09-02 17:00:00,2023-09-02 19:15:00
AA1234,,,,,American Airlines,60.0,2023-09-02 20:30:00,2023-09-02 10:45:00
DL5678,,,,,Delta,10.0,2023-09-03 13:00:00,2023-09-03 15:30:00
UA9101,,,,,United Airlines,25.0,2023-09-03 15:00:00,2023-09-03 17:20:00
AA1234,,,,,American Airlines,15.0,2023-09-03 08:30:00,2023-09-03 10:00:00
DL5678,,,,,Delta,25.0,2023-09-04 12:30:00,2023-09-04 14:40:00
UA9101,,,,,United Airlines,45.0,2023-09-04 19:00:00,2023-09-04 21:15:00
